Auxiliary Boilers A/B Feed Water Header Pressure 2,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Heat Recovery System Header Pressure.1,Lube Oil Cooler Outlet Temperature,Lube Oil Tank Temperature,Motor Current Phase A,Motor Current Phase B,Motor Current Phase C,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 1 Bearing Temperature,Pump Journal 2 Bearing Temperature,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Pressure 2,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1,Pump Thrust Bearing Temperature 2,Pump Radial Bearing Vibration
1291.147217,1292.567261,302266.4375,302923.75,1778.61853,1782.398315,71.14257813,76.7538681,145.6946106,146,144.6946106,NaN,NaN,4231.694824,1790.730225,858.786377,137.1117706,144.2884674,3589.287354,25.01981926,16.8802948,0.27511695,226.7355804,98.0943985,86.49970245,9.822562218
1294.569458,1295.847656,302349.6563,303545.8125,1778.543945,1782.37561,71.13526917,76.73400116,147,147,145,NaN,NaN,4238,1790.610962,862.2689819,137.1096039,144.2874146,3589.287842,25.00792122,16.87970924,0.27525723,226.7348175,98.09835815,86.49317169,9.848325729
1301.164063,1299.062378,301354.375,303347.9688,1778.46936,1782.353027,71.12795258,76.71413422,146,146.6932983,145,NaN,NaN,4236.760254,1790.491821,860.0062256,137.1074371,144.2863617,3589.28833,24.99602318,16.87912369,0.275397509,226.7340698,98.10232544,86.4866333,9.874089241
1307.078613,1301.284668,299985.3438,302197.9063,1778.394897,1782.330322,71.12064362,76.69425964,146.6961517,147,145,NaN,NaN,4230.39209,1790.372681,856.6044312,137.1052551,144.2852936,3589.288818,24.98412514,16.87853813,0.275537789,226.7333221,98.10629272,86.48010254,9.828612328
1307.335205,1303.506958,300948.375,303497.75,1778.320313,1782.307617,71.11332703,76.6743927,146,147,145,NaN,NaN,4230.485352,1790.253418,860.9456177,137.1030884,144.2842407,3589.289551,25.06133461,16.87795258,0.275678039,226.7325592,98.11025238,86.47357178,9.743706703
1307.591919,1305.729248,302107.875,303499.6563,1778.245728,1782.285034,71.10601807,76.65451813,146.2840271,147,145,NaN,NaN,4236.795898,1790.134277,858.1833496,137.1009216,144.2831879,3589.290039,24.99261856,16.87736702,0.275818318,226.7318115,98.11421967,86.46704102,9.658801079
1307.848511,1307.951416,300607.4063,303668.7188,1778.171265,1782.262329,71.09870148,76.63465118,145.6905518,146.6905518,145,NaN,NaN,4233.082031,1790.015015,855.4210815,137.0987396,144.2821198,3589.290527,24.93815231,16.87678337,0.275958598,226.7310486,98.11817932,86.46051025,9.573895454
1306.196533,1310.173706,300898.9688,303131.6563,1778.09668,1782.239746,71.09139252,76.61478424,146,146.3055725,144.3055725,NaN,NaN,4227.916504,1789.895874,852.232605,137.0965729,144.2810669,3589.291016,24.95630074,16.87619781,0.276098847,226.7303009,98.12214661,86.45397186,9.508580208
1300.719116,1303.049316,301179.625,302667.4063,1778.022095,1782.217041,71.08408356,76.59490967,146.7352295,146,144.9309845,NaN,NaN,4236.780273,1789.776733,856.0941772,137.0944061,144.2799988,3589.291504,24.99822807,16.87561226,0.276239127,226.729538,98.12611389,86.4474411,9.679633141
1288.220825,1291.142578,301626.5625,303833.5625,1777.94751,1782.194458,71.07676697,76.57504272,146.7902527,146.7902527,144.7902527,NaN,NaN,4236.966309,1789.657471,860.6011963,137.0922241,144.2789459,3589.291992,25.03785706,16.8750267,0.276379406,226.7287903,98.13007355,86.44091034,9.652276039
1286.488403,1287.807129,300651.0313,303580.75,1777.873047,1782.190552,71.06945801,76.55516815,145.720993,146.720993,144.720993,NaN,NaN,4233.763184,1789.53833,857.7501221,137.0900574,144.2778931,3589.292725,25.0253334,16.87444115,0.276519656,226.7280273,98.13404083,86.43437958,9.624917984
1288.348633,1287.840088,302158.6875,304258.625,1777.798462,1782.243652,71.06214142,76.53530121,147,147.305603,145.3103485,NaN,NaN,4235.13916,1789.419067,859.3212891,137.0878906,144.276825,3589.293213,25.01281166,16.87385559,0.276659936,226.7272797,98.13800049,86.42784882,9.597559929
1289.122559,1287.873169,302472.625,306119.5313,1777.783936,1782.296753,71.05483246,76.51543427,146.0002594,147.0002594,145,NaN,NaN,4238.999512,1789.330566,863.6203003,137.0857086,144.2757721,3589.293701,25.00028801,16.87327003,0.276800215,226.726532,98.14196777,86.42131805,9.570202827
1286.671387,1288.294312,302046.9375,305206.8438,1777.947998,1782.349854,71.04751587,76.49555969,147,147,145,NaN,NaN,4238.053223,1789.333252,869.0140381,137.0835419,144.2747192,3589.294189,24.98776627,16.87268639,0.276990563,226.725769,98.14593506,86.41477966,9.543889046
1290.517822,1289.289551,300870.5,304332.5,1778.111938,1782.402954,71.04020691,76.47569275,147.3056946,148,146,NaN,NaN,4238.552734,1789.335815,869.2369995,137.0813751,144.2736511,3589.294678,25.03179741,16.87210083,0.277321696,226.7250214,98.14989471,86.4082489,9.533612251
1301.692017,1298.880371,300793.4063,302231.7188,1778.276001,1782.456055,71.03289032,76.45581818,147,147,144.3048401,NaN,NaN,4235.532227,1789.338501,862.4346924,137.0792084,144.2725983,3589.295166,25.1025238,16.87151527,0.27765283,226.7242584,98.153862,86.40171814,9.523334503
1305.731934,1304.920776,301652.4063,304035.9375,1778.439941,1782.494995,71.02558136,76.43595123,147.5879822,147.5879822,146.5879822,NaN,NaN,4232.060059,1789.341064,864.0753784,137.0770264,144.2715454,3589.295898,25.10756302,16.87092972,0.277983963,226.7235107,98.15782928,86.39518738,9.513057709
